Q,omega,I,dI,Tr,Ki,Kf,Im,I-Im,S,dS
1.5,7.5354,0.010384489334573295,0.0007871292935283334,0.85,6.105468377428019,5.8,0.004131005031823889,0.005733928240649718,0.008332695322320144,0.001086646615359589
1.5,8.0372,0.01036239947243132,0.0008248272618368059,0.85,6.125269255066495,5.8,0.00410531298153632,0.005706813545046746,0.008333550104515858,0.0011405181042444944
1.5,8.4978,0.009144601662250767,0.0007985851024198526,0.85,6.143388217521124,5.8,0.0040748192969053,0.004558639596313681,0.00667586903834542,0.0011041136710217589
1.5,9.0093,0.009920534265644284,0.000788757745547401,0.85,6.163447051489542,5.8,0.0040372927037159115,0.005298246039466959,0.00779514375364466,0.0010920435739032186
1.5,9.526,0.007789938645283174,0.000710218338989121,0.85,6.183643743967778,5.8,0.004005204207397698,0.003301433434319237,0.0048649794059586055,0.0009816436828050394
1.5,10.0003,0.008646225222695982,0.000768819140624823,0.85,6.202125217007733,5.8,0.003988871260320132,0.0040967614118675244,0.006047608673910764,0.0010613403110593892
1.5,10.5271,0.010094023032876535,0.000785770142632925,0.85,6.222588053035909,5.8,0.003984753578020024,0.005423764725247777,0.008024459666834486,0.0010835960710089913
1.5,11.0107,0.007880871248676693,0.0007362646972322918,0.85,6.241313780805143,5.8,0.003984157998282593,0.0033394688610015513,0.0049601777488329744,0.0010162622535975195
1.5,11.4988,0.007903427412515426,0.0007081709009333939,0.85,6.260156957995594,5.8,0.003976553523547318,0.003345927254517181,0.004991145999487766,0.0009787338934935997
1.5,12.041,0.00790238248144444,0.0007258889505277027,0.85,6.281022398957919,5.8,0.003954130755859909,0.003343059969010298,0.005004478192988568,0.0010034193482867044
1.5,12.5387,0.006622140835102619,0.0006715342455706857,0.85,6.3001145202613404,5.8,0.003922984811745495,0.002173478470004809,0.003263575425883834,0.0009282950321628622
1.5,13.0412,0.0060466745334058596,0.0006865824315383725,0.85,6.319332254484376,5.8,0.0038892835795424504,0.0016604661220762326,0.002501675466779585,0.0009494026512936496
1.5,13.4974,0.006705163300638113,0.0006548025436644948,0.85,6.336728805402344,5.8,0.003863520357356824,0.0022737072782247464,0.0034445124624802553,0.0009079594202617081
1.5,14.0089,0.007240983576354161,0.0007170783398395684,0.85,6.356177524153457,5.8,0.0038426434211196285,0.0027647404323462273,0.004202460250016733,0.0009945985690274265
1.5,14.5253,0.0063262082317091005,0.0006512354625019263,0.85,6.375752373483278,5.8,0.0038263711547606833,0.0019285587099113909,0.002928779257540647,0.0008996806288552919
1.5,15.0465,0.005390854257689811,0.0006241477878031493,0.85,6.395448422070485,5.8,0.003808797952187073,0.0010801406540097425,0.0016510647914722112,0.0008652233520791515
1.5,15.52,0.005835275628315583,0.0006458575789336267,0.85,6.413289458421595,5.8,0.0037884591669800605,0.0014888012566528423,0.002276446584122627,0.0008931093776112669
1.5,15.9975,0.005858298093851076,0.0006298731145884134,0.85,6.431231089037905,5.8,0.0037630182491395947,0.0015202826420773739,0.002329392787439489,0.0008703728579376263
1.5,16.5329,0.005034455352599534,0.0005867896028291802,0.85,6.451288920334586,5.8,0.0037304856444963863,0.0007957170113851129,0.0012234367147768365,0.0008111231152302462
1.5,17.0191,0.004720500283670521,0.0005851395512346027,0.85,6.469449681506477,5.8,0.0037005623588108887,0.0005314671016784871,0.0008215547667863116,0.0008109241642788782
1.5,17.5096,0.004607477818135027,0.0006045495564498659,0.85,6.487719545479579,5.8,0.003671409704192689,0.0004476603569974697,0.0006938573586004231,0.0008377016956218037
1.5,18.0044,0.004752944119831786,0.0006137124521148123,0.85,6.506097593134639,5.8,0.0036406513290262806,0.0005964624708210621,0.0009241629363357123,0.0008476914036367547
1.5,18.5036,0.004683522749206016,0.0005690311262438418,0.85,6.5245866087785345,5.8,0.003605340997095933,0.0005580541073305122,0.0008669174187879797,0.0007858007456390402
1.5,19.0071,0.00450096658536728,0.0006227969991065132,0.85,6.543181963758389,5.8,0.0035664768533868723,0.000423264886904761,0.0006611634959864971,0.0008623471498346003
1.5,19.515,0.003870500283670521,0.0006439241371613835,0.85,6.561886431485938,5.8,0.0035282087461836033,-0.00010710387341830762,-0.0001679384422500932,0.0008924398030313055
1.5,20.0274,0.004650387955993052,0.0006549600395005172,0.85,6.580702748504517,5.8,0.0034933199131952034,0.0006053685058933535,0.0009499188135314188,0.0009058101628946573
1.5,20.5444,0.004701899188760798,0.000642574289440661,0.85,6.599633614553483,5.8,0.0034604903725171735,0.0006717110325236619,0.001059346370442533,0.0008906088651921646
1.5,21.0078,0.00495096658536728,0.0005884947766090012,0.85,6.616555790585966,5.8,0.003429686290162839,0.0009102765400435925,0.0014369317162077197,0.0008143318250009585
1.5,21.5335,0.003671657542418979,0.0005574452367059484,0.85,6.635700755527811,5.8,0.003390151023367411,-0.00018090236514695752,-0.0002861873777300537,0.000770814081658426
1.5,22.0047,0.004850387955993052,0.0006431350195274078,0.85,6.65281411480835,5.8,0.0033513407442205454,0.0008772833627029831,0.0013958617800564018,0.0008921282367286244
1.5,22.5393,0.0035777024734899663,0.000532457931067569,0.85,6.6721769282763805,5.8,0.0033074996288953986,-0.00019746903928357425,-0.0003151072838130474,0.0007385929682786019
1.5,23.0185,0.003706657542418979,0.0005606872496554125,0.85,6.689485560298441,5.8,0.003271254721968728,-5.746293600201319e-05,-9.171621907347693e-05,0.0007759152435325316
1.5,23.5016,0.004194567680277003,0.0005760101379879874,0.85,6.70688984429469,5.8,0.0032374116417520854,0.00038997647858538985,0.0006244344646299668,0.0007976004663220689
1.5,24.0497,0.004633522749206016,0.0005784863201790817,0.85,6.726581307492101,5.8,0.0031987188077929056,0.0007965398112417016,0.0012786639684975688,0.0008007106987275684
1.5,24.4794,0.0032887474045609545,0.0005255023356630886,0.85,6.741978821832322,5.8,0.0031657321824369545,-0.0003364834632501681,-0.0005410211070497104,0.0007268850615699306
1.5,25.0364,0.004158635076883485,0.0005364578862416398,0.85,6.761885718192018,5.8,0.00311928717340504,0.0004477774667192534,0.0007233989355807226,0.0007433809566267658
1.5,25.5357,0.004375033981973761,0.0005887066219620654,0.85,6.77968076328622,5.8,0.0030764882371607963,0.0006663424331063462,0.0010797207763611528,0.0008160779768368302
1.5,26.0391,0.003643168775186725,0.0005535560098434504,0.85,6.7975747723250475,5.8,0.003033429846279348,7.508747111906796e-05,0.00012201448246179335,0.0007675019269311171
